Qualifier,Trade.type,Market,Abbreviation
X[ACT_FLAG1];N  [ELIGBL_TRD];RX   [TR_TRD_FLG],,NA,X[ACT_FLAG1];N  [ELIGBL_TRD];RX   [TR_TRD_FLG]
P[ACT_FLAG1];N  [ELIGBL_TRD];DX   [TR_TRD_FLG],,NA,P[ACT_FLAG1];N  [ELIGBL_TRD];DX   [TR_TRD_FLG]
M[ACT_FLAG1];N  [ELIGBL_TRD];RX   [TR_TRD_FLG],,NA,M[ACT_FLAG1];N  [ELIGBL_TRD];RX   [TR_TRD_FLG]
SC [PRC_QL_CD];Nominal Price[USER],,NA,SC [PRC_QL_CD];Nominal Price[USER]
   [PRC_QL_CD];[ACT_FLAG1],,NA,   [PRC_QL_CD];[ACT_FLAG1]
[ACT_FLAG1];   [PRC_QL_CD];OB   [TR_TRD_FLG],,NA,[ACT_FLAG1];   [PRC_QL_CD];OB   [TR_TRD_FLG]
Y[ACT_FLAG1];OB   [TR_TRD_FLG],,NA,Y[ACT_FLAG1];OB   [TR_TRD_FLG]
D[ACT_FLAG1];OB   [TR_TRD_FLG],,NA,D[ACT_FLAG1];OB   [TR_TRD_FLG]
U[ACT_FLAG1];   [PRC_QL_CD];AU   [TR_TRD_FLG],,NA,U[ACT_FLAG1];   [PRC_QL_CD];AU   [TR_TRD_FLG]
P[ACT_FLAG1];DX   [TR_TRD_FLG],,NA,P[ACT_FLAG1];DX   [TR_TRD_FLG]
   [PRC_QL_CD];U[ACT_FLAG1],,NA,   [PRC_QL_CD];U[ACT_FLAG1]
U[ACT_FLAG1];AU   [TR_TRD_FLG],,NA,U[ACT_FLAG1];AU   [TR_TRD_FLG]
B [IMB_SIDE],,NA,B [IMB_SIDE]
S [IMB_SIDE],,NA,S [IMB_SIDE]
N [IMB_SIDE],,NA,N [IMB_SIDE]
X[ACT_FLAG1];RX   [TR_TRD_FLG],,NA,X[ACT_FLAG1];RX   [TR_TRD_FLG]
  [IMB_SIDE],,NA,  [IMB_SIDE]
[ACT_FLAG1];OB   [TR_TRD_FLG],,NA,[ACT_FLAG1];OB   [TR_TRD_FLG]
