,RIC,Date_Time,Price,Volume,Market_VWAP,Qualifiers,Ex_Cntrb_ID,TradeCategory,GMT_Offset,Type
184,1606.HK,2016-07-11 07:39:29.368218+00:00,1.86,10000,1.9626,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
185,1606.HK,2016-07-11 07:40:29.920104+00:00,1.85,182000,1.9622,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
186,1606.HK,2016-07-11 07:48:37.765300+00:00,1.87,2000,1.9621,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
187,1606.HK,2016-07-11 07:48:46.000028+00:00,1.88,62000,1.9621,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
188,1606.HK,2016-07-11 07:48:46.000028+00:00,1.88,18000,1.9618,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
189,1606.HK,2016-07-11 07:48:54.901325+00:00,1.89,184000,1.9616,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
190,1606.HK,2016-07-11 07:48:55.081350+00:00,1.88,8000,1.9615,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
191,1606.HK,2016-07-11 07:48:55.357353+00:00,1.89,34000,1.9615,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
192,1606.HK,2016-07-11 07:49:09.737229+00:00,1.89,8000,1.9615,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
193,1606.HK,2016-07-11 07:49:49.940752+00:00,1.9,6000,1.9613,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
194,1606.HK,2016-07-11 07:49:49.940752+00:00,1.9,16000,1.9613,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
195,1606.HK,2016-07-11 07:50:10.879923+00:00,1.89,70000,1.9613,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
196,1606.HK,2016-07-11 07:50:10.879923+00:00,1.89,50000,1.9612,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
197,1606.HK,2016-07-11 07:50:20.884501+00:00,1.89,50000,1.9611,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
198,1606.HK,2016-07-11 07:52:30.723969+00:00,1.89,6000,1.9611,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
